sample_id,storm_id,split,horizon,grid_timestamp,insat_timestamp,delta_minutes,insat_file_identifier,match_status,is_causal
NIO_2014_NILOFAR_20141025_1200Z,NIO_2014_NILOFAR,TRAIN,t-3h,2014-10-25T09:00:00Z,2014-10-25T09:00:00Z,0.0,3DIMG_25OCT2014_0900_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_1200Z,NIO_2014_NILOFAR,TRAIN,t0,2014-10-25T12:00:00Z,2014-10-25T12:00:00Z,0.0,3DIMG_25OCT2014_1200_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_1800Z,NIO_2014_NILOFAR,TRAIN,t-15h,2014-10-25T03:00:00Z,2014-10-25T03:00:00Z,0.0,3DIMG_25OCT2014_0300_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_1800Z,NIO_2014_NILOFAR,TRAIN,t-12h,2014-10-25T06:00:00Z,2014-10-25T06:00:00Z,0.0,3DIMG_25OCT2014_0600_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_1800Z,NIO_2014_NILOFAR,TRAIN,t-9h,2014-10-25T09:00:00Z,2014-10-25T09:00:00Z,0.0,3DIMG_25OCT2014_0900_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_1800Z,NIO_2014_NILOFAR,TRAIN,t-6h,2014-10-25T12:00:00Z,2014-10-25T12:00:00Z,0.0,3DIMG_25OCT2014_1200_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_1800Z,NIO_2014_NILOFAR,TRAIN,t-3h,2014-10-25T15:00:00Z,2014-10-25T15:00:00Z,0.0,3DIMG_25OCT2014_1500_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141025_1800Z,NIO_2014_NILOFAR,TRAIN,t0,2014-10-25T18:00:00Z,2014-10-25T18:00:00Z,0.0,3DIMG_25OCT2014_1800_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141026_0000Z,NIO_2014_NILOFAR,TRAIN,t-15h,2014-10-25T09:00:00Z,2014-10-25T09:00:00Z,0.0,3DIMG_25OCT2014_0900_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141026_0000Z,NIO_2014_NILOFAR,TRAIN,t-12h,2014-10-25T12:00:00Z,2014-10-25T12:00:00Z,0.0,3DIMG_25OCT2014_1200_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141026_0000Z,NIO_2014_NILOFAR,TRAIN,t-9h,2014-10-25T15:00:00Z,2014-10-25T15:00:00Z,0.0,3DIMG_25OCT2014_1500_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141026_0000Z,NIO_2014_NILOFAR,TRAIN,t-6h,2014-10-25T18:00:00Z,2014-10-25T19:00:00Z,60.0,3DIMG_25OCT2014_1900_L1C_ASIA_MER_V01R00.h5,NEAR_SYNOPTIC,True
NIO_2014_NILOFAR_20141026_0000Z,NIO_2014_NILOFAR,TRAIN,t-3h,2014-10-25T21:00:00Z,2014-10-25T21:00:00Z,0.0,3DIMG_25OCT2014_2100_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_NILOFAR_20141026_0000Z,NIO_2014_NILOFAR,TRAIN,t0,2014-10-26T00:00:00Z,2014-10-26T00:00:00Z,0.0,3DIMG_26OCT2014_0000_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140803_1200Z,NIO_2014_UNNAMED_03,TRAIN,t-15h,2014-08-02T21:00:00Z,2014-08-02T21:00:00Z,0.0,3DIMG_02AUG2014_2100_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140803_1200Z,NIO_2014_UNNAMED_03,TRAIN,t-12h,2014-08-03T00:00:00Z,2014-08-03T00:00:00Z,0.0,3DIMG_03AUG2014_0000_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140803_1200Z,NIO_2014_UNNAMED_03,TRAIN,t-9h,2014-08-03T03:00:00Z,2014-08-03T03:00:00Z,0.0,3DIMG_03AUG2014_0300_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140803_1200Z,NIO_2014_UNNAMED_03,TRAIN,t-6h,2014-08-03T06:00:00Z,2014-08-03T06:00:00Z,0.0,3DIMG_03AUG2014_0600_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140803_1200Z,NIO_2014_UNNAMED_03,TRAIN,t-3h,2014-08-03T09:00:00Z,2014-08-03T09:00:00Z,0.0,3DIMG_03AUG2014_0900_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140803_1200Z,NIO_2014_UNNAMED_03,TRAIN,t0,2014-08-03T12:00:00Z,2014-08-03T12:00:00Z,0.0,3DIMG_03AUG2014_1200_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140803_1800Z,NIO_2014_UNNAMED_03,TRAIN,t-15h,2014-08-03T03:00:00Z,2014-08-03T03:00:00Z,0.0,3DIMG_03AUG2014_0300_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140803_1800Z,NIO_2014_UNNAMED_03,TRAIN,t-12h,2014-08-03T06:00:00Z,2014-08-03T06:00:00Z,0.0,3DIMG_03AUG2014_0600_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140803_1800Z,NIO_2014_UNNAMED_03,TRAIN,t-9h,2014-08-03T09:00:00Z,2014-08-03T09:00:00Z,0.0,3DIMG_03AUG2014_0900_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140803_1800Z,NIO_2014_UNNAMED_03,TRAIN,t-6h,2014-08-03T12:00:00Z,2014-08-03T12:00:00Z,0.0,3DIMG_03AUG2014_1200_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140803_1800Z,NIO_2014_UNNAMED_03,TRAIN,t-3h,2014-08-03T15:00:00Z,2014-08-03T15:00:00Z,0.0,3DIMG_03AUG2014_1500_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140803_1800Z,NIO_2014_UNNAMED_03,TRAIN,t0,2014-08-03T18:00:00Z,2014-08-03T18:00:00Z,0.0,3DIMG_03AUG2014_1800_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0000Z,NIO_2014_UNNAMED_03,TRAIN,t-15h,2014-08-03T09:00:00Z,2014-08-03T09:00:00Z,0.0,3DIMG_03AUG2014_0900_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0000Z,NIO_2014_UNNAMED_03,TRAIN,t-12h,2014-08-03T12:00:00Z,2014-08-03T12:00:00Z,0.0,3DIMG_03AUG2014_1200_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0000Z,NIO_2014_UNNAMED_03,TRAIN,t-9h,2014-08-03T15:00:00Z,2014-08-03T15:00:00Z,0.0,3DIMG_03AUG2014_1500_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0000Z,NIO_2014_UNNAMED_03,TRAIN,t-6h,2014-08-03T18:00:00Z,2014-08-03T18:00:00Z,0.0,3DIMG_03AUG2014_1800_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0000Z,NIO_2014_UNNAMED_03,TRAIN,t-3h,2014-08-03T21:00:00Z,2014-08-03T21:00:00Z,0.0,3DIMG_03AUG2014_2100_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0000Z,NIO_2014_UNNAMED_03,TRAIN,t0,2014-08-04T00:00:00Z,2014-08-04T00:00:00Z,0.0,3DIMG_04AUG2014_0000_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0300Z,NIO_2014_UNNAMED_03,TRAIN,t-15h,2014-08-03T12:00:00Z,2014-08-03T12:00:00Z,0.0,3DIMG_03AUG2014_1200_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0300Z,NIO_2014_UNNAMED_03,TRAIN,t-12h,2014-08-03T15:00:00Z,2014-08-03T15:00:00Z,0.0,3DIMG_03AUG2014_1500_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0300Z,NIO_2014_UNNAMED_03,TRAIN,t-9h,2014-08-03T18:00:00Z,2014-08-03T18:00:00Z,0.0,3DIMG_03AUG2014_1800_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0300Z,NIO_2014_UNNAMED_03,TRAIN,t-6h,2014-08-03T21:00:00Z,2014-08-03T21:00:00Z,0.0,3DIMG_03AUG2014_2100_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0300Z,NIO_2014_UNNAMED_03,TRAIN,t-3h,2014-08-04T00:00:00Z,2014-08-04T00:00:00Z,0.0,3DIMG_04AUG2014_0000_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0300Z,NIO_2014_UNNAMED_03,TRAIN,t0,2014-08-04T03:00:00Z,2014-08-04T03:00:00Z,0.0,3DIMG_04AUG2014_0300_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0600Z,NIO_2014_UNNAMED_03,TRAIN,t-15h,2014-08-03T15:00:00Z,2014-08-03T15:00:00Z,0.0,3DIMG_03AUG2014_1500_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0600Z,NIO_2014_UNNAMED_03,TRAIN,t-12h,2014-08-03T18:00:00Z,2014-08-03T18:00:00Z,0.0,3DIMG_03AUG2014_1800_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0600Z,NIO_2014_UNNAMED_03,TRAIN,t-9h,2014-08-03T21:00:00Z,2014-08-03T21:00:00Z,0.0,3DIMG_03AUG2014_2100_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0600Z,NIO_2014_UNNAMED_03,TRAIN,t-6h,2014-08-04T00:00:00Z,2014-08-04T00:00:00Z,0.0,3DIMG_04AUG2014_0000_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0600Z,NIO_2014_UNNAMED_03,TRAIN,t-3h,2014-08-04T03:00:00Z,2014-08-04T03:00:00Z,0.0,3DIMG_04AUG2014_0300_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_0600Z,NIO_2014_UNNAMED_03,TRAIN,t0,2014-08-04T06:00:00Z,2014-08-04T06:00:00Z,0.0,3DIMG_04AUG2014_0600_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_1200Z,NIO_2014_UNNAMED_03,TRAIN,t-15h,2014-08-03T21:00:00Z,2014-08-03T21:00:00Z,0.0,3DIMG_03AUG2014_2100_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_1200Z,NIO_2014_UNNAMED_03,TRAIN,t-12h,2014-08-04T00:00:00Z,2014-08-04T00:00:00Z,0.0,3DIMG_04AUG2014_0000_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_1200Z,NIO_2014_UNNAMED_03,TRAIN,t-9h,2014-08-04T03:00:00Z,2014-08-04T03:00:00Z,0.0,3DIMG_04AUG2014_0300_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_1200Z,NIO_2014_UNNAMED_03,TRAIN,t-6h,2014-08-04T06:00:00Z,2014-08-04T06:00:00Z,0.0,3DIMG_04AUG2014_0600_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_1200Z,NIO_2014_UNNAMED_03,TRAIN,t-3h,2014-08-04T09:00:00Z,2014-08-04T09:00:00Z,0.0,3DIMG_04AUG2014_0900_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_1200Z,NIO_2014_UNNAMED_03,TRAIN,t0,2014-08-04T12:00:00Z,2014-08-04T12:00:00Z,0.0,3DIMG_04AUG2014_1200_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_1800Z,NIO_2014_UNNAMED_03,TRAIN,t-15h,2014-08-04T03:00:00Z,2014-08-04T03:00:00Z,0.0,3DIMG_04AUG2014_0300_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_1800Z,NIO_2014_UNNAMED_03,TRAIN,t-12h,2014-08-04T06:00:00Z,2014-08-04T06:00:00Z,0.0,3DIMG_04AUG2014_0600_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_1800Z,NIO_2014_UNNAMED_03,TRAIN,t-9h,2014-08-04T09:00:00Z,2014-08-04T09:00:00Z,0.0,3DIMG_04AUG2014_0900_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_1800Z,NIO_2014_UNNAMED_03,TRAIN,t-6h,2014-08-04T12:00:00Z,2014-08-04T12:00:00Z,0.0,3DIMG_04AUG2014_1200_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_1800Z,NIO_2014_UNNAMED_03,TRAIN,t-3h,2014-08-04T15:00:00Z,2014-08-04T15:00:00Z,0.0,3DIMG_04AUG2014_1500_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140804_1800Z,NIO_2014_UNNAMED_03,TRAIN,t0,2014-08-04T18:00:00Z,2014-08-04T18:00:00Z,0.0,3DIMG_04AUG2014_1800_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140805_0000Z,NIO_2014_UNNAMED_03,TRAIN,t-15h,2014-08-04T09:00:00Z,2014-08-04T09:00:00Z,0.0,3DIMG_04AUG2014_0900_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140805_0000Z,NIO_2014_UNNAMED_03,TRAIN,t-12h,2014-08-04T12:00:00Z,2014-08-04T12:00:00Z,0.0,3DIMG_04AUG2014_1200_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140805_0000Z,NIO_2014_UNNAMED_03,TRAIN,t-9h,2014-08-04T15:00:00Z,2014-08-04T15:00:00Z,0.0,3DIMG_04AUG2014_1500_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140805_0000Z,NIO_2014_UNNAMED_03,TRAIN,t-6h,2014-08-04T18:00:00Z,2014-08-04T18:00:00Z,0.0,3DIMG_04AUG2014_1800_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140805_0000Z,NIO_2014_UNNAMED_03,TRAIN,t-3h,2014-08-04T21:00:00Z,2014-08-04T21:00:00Z,0.0,3DIMG_04AUG2014_2100_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_03_20140805_0000Z,NIO_2014_UNNAMED_03,TRAIN,t0,2014-08-05T00:00:00Z,2014-08-05T00:00:00Z,0.0,3DIMG_05AUG2014_0000_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141105_1200Z,NIO_2014_UNNAMED_04,TRAIN,t-15h,2014-11-04T21:00:00Z,2014-11-04T21:00:00Z,0.0,3DIMG_04NOV2014_2100_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141105_1200Z,NIO_2014_UNNAMED_04,TRAIN,t-12h,2014-11-05T00:00:00Z,2014-11-05T00:00:00Z,0.0,3DIMG_05NOV2014_0000_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141105_1200Z,NIO_2014_UNNAMED_04,TRAIN,t-9h,2014-11-05T03:00:00Z,2014-11-05T03:00:00Z,0.0,3DIMG_05NOV2014_0300_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141105_1200Z,NIO_2014_UNNAMED_04,TRAIN,t-6h,2014-11-05T06:00:00Z,2014-11-05T06:00:00Z,0.0,3DIMG_05NOV2014_0600_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141105_1200Z,NIO_2014_UNNAMED_04,TRAIN,t-3h,2014-11-05T09:00:00Z,2014-11-05T09:00:00Z,0.0,3DIMG_05NOV2014_0900_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141105_1200Z,NIO_2014_UNNAMED_04,TRAIN,t0,2014-11-05T12:00:00Z,2014-11-05T12:00:00Z,0.0,3DIMG_05NOV2014_1200_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141105_1800Z,NIO_2014_UNNAMED_04,TRAIN,t-15h,2014-11-05T03:00:00Z,2014-11-05T03:00:00Z,0.0,3DIMG_05NOV2014_0300_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141105_1800Z,NIO_2014_UNNAMED_04,TRAIN,t-12h,2014-11-05T06:00:00Z,2014-11-05T06:00:00Z,0.0,3DIMG_05NOV2014_0600_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141105_1800Z,NIO_2014_UNNAMED_04,TRAIN,t-9h,2014-11-05T09:00:00Z,2014-11-05T09:00:00Z,0.0,3DIMG_05NOV2014_0900_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141105_1800Z,NIO_2014_UNNAMED_04,TRAIN,t-6h,2014-11-05T12:00:00Z,2014-11-05T12:00:00Z,0.0,3DIMG_05NOV2014_1200_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141105_1800Z,NIO_2014_UNNAMED_04,TRAIN,t-3h,2014-11-05T15:00:00Z,2014-11-05T15:00:00Z,0.0,3DIMG_05NOV2014_1500_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141105_1800Z,NIO_2014_UNNAMED_04,TRAIN,t0,2014-11-05T18:00:00Z,2014-11-05T18:00:00Z,0.0,3DIMG_05NOV2014_1800_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141106_0000Z,NIO_2014_UNNAMED_04,TRAIN,t-15h,2014-11-05T09:00:00Z,2014-11-05T09:00:00Z,0.0,3DIMG_05NOV2014_0900_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141106_0000Z,NIO_2014_UNNAMED_04,TRAIN,t-12h,2014-11-05T12:00:00Z,2014-11-05T12:00:00Z,0.0,3DIMG_05NOV2014_1200_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141106_0000Z,NIO_2014_UNNAMED_04,TRAIN,t-9h,2014-11-05T15:00:00Z,2014-11-05T15:00:00Z,0.0,3DIMG_05NOV2014_1500_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141106_0000Z,NIO_2014_UNNAMED_04,TRAIN,t-6h,2014-11-05T18:00:00Z,2014-11-05T19:00:00Z,60.0,3DIMG_05NOV2014_1900_L1C_ASIA_MER_V01R00.h5,NEAR_SYNOPTIC,True
NIO_2014_UNNAMED_04_20141106_0000Z,NIO_2014_UNNAMED_04,TRAIN,t-3h,2014-11-05T21:00:00Z,2014-11-05T21:00:00Z,0.0,3DIMG_05NOV2014_2100_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_04_20141106_0000Z,NIO_2014_UNNAMED_04,TRAIN,t0,2014-11-06T00:00:00Z,2014-11-06T00:00:00Z,0.0,3DIMG_06NOV2014_0000_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_2_3_1_20140610_1200Z,NIO_2014_UNNAMED_2_3_1,TRAIN,t-15h,2014-06-09T21:00:00Z,2014-06-09T21:00:00Z,0.0,3DIMG_09JUN2014_2100_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_2_3_1_20140610_1200Z,NIO_2014_UNNAMED_2_3_1,TRAIN,t-12h,2014-06-10T00:00:00Z,2014-06-10T00:00:00Z,0.0,3DIMG_10JUN2014_0000_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_2_3_1_20140610_1200Z,NIO_2014_UNNAMED_2_3_1,TRAIN,t-9h,2014-06-10T03:00:00Z,2014-06-10T03:00:00Z,0.0,3DIMG_10JUN2014_0300_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_2_3_1_20140610_1200Z,NIO_2014_UNNAMED_2_3_1,TRAIN,t-6h,2014-06-10T06:00:00Z,2014-06-10T06:00:00Z,0.0,3DIMG_10JUN2014_0600_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_2_3_1_20140610_1200Z,NIO_2014_UNNAMED_2_3_1,TRAIN,t-3h,2014-06-10T09:00:00Z,2014-06-10T09:00:00Z,0.0,3DIMG_10JUN2014_0900_L1C_ASIA_MER_V01R00.h5,EXACT,True
NIO_2014_UNNAMED_2_3_1_20140610_1200Z,NIO_2014_UNNAMED_2_3_1,TRAIN,t0,2014-06-10T12:00:00Z,2014-06-10T12:00:00Z,0.0,3DIMG_10JUN2014_1200_L1C_ASIA_MER_V01R00.h5,EXACT,True
