year,storm_id,source_file,source_page,source_table,source_row,raw_text,problem_type,problem_description,recommended_action,resolved
2006,,27_b1dd60_rsmc-2006 .pdf,15,,,"header=['Depression\nover Bay of\nBengal\nSeptember\n03-04', None, 'September\n03, 1200\nUTC near\n20.5/88.5', 'Crossed north\nOrissa coast\nnear Chandbali\naround 01 UTC\nof September 04', '992 hPa at\n1200 UTC of\nSeptember 03,\nNear\n20.5/88.5', '25 kt at\n0300 UTC of\nSeptember 03', 'T 1.5']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'longitude', 'wind', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2006,,27_b1dd60_rsmc-2006 .pdf,15,,,header=['Cyclonic storm'],UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2006,,27_b1dd60_rsmc-2006 .pdf,16,,,"header=['S.No', 'Type', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov', 'Dec', 'Life\nTime in\n(Days)']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2006,,27_b1dd60_rsmc-2006 .pdf,16,,,"header=['CI No.', '\uf0b31.5', '\uf0b32.0', '\uf0b32.5', '\uf0b33.0', '\uf0b34.0', '\uf0b35.0', '\uf0b36.0', '\uf0b37.0']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,1.0,date=02-08-006 time=0300 lat=20.5 lon=87.5 wind=25 pres=990 cat=D,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '02-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,2.0,date=02-08-006 time=0600 lat=20.5 lon=87.5 wind=25 pres=990 cat=D,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '02-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,3.0,date=02-08-006 time=0900 lat=20.0 lon=87.0 wind=30 pres=988 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '02-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,4.0,date=02-08-006 time=1200 lat=20.0 lon=86.5 wind=30 pres=986 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '02-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,5.0,date=02-08-006 time=1500 lat=20.0 lon=86.5 wind=30 pres=986 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '02-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,6.0,date=02-08-006 time=1800 lat=20.0 lon=86.0 wind=30 pres=986 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '02-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,7.0,date=02-08-006 time=2100 lat=20.0 lon=85.5 wind=30 pres=986 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '02-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,8.0,date=03-08-006 time=0000 lat=Near Puri lon=2.0 wind=30 pres=986 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '03-08-006'; LATITUDE: Non-numeric coordinate: 'Near Puri',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,10.0,date=03-08-006 time=0300 lat=19.5 lon=85.0 wind=30 pres=986 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '03-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,11.0,date=03-08-006 time=0600 lat=19.5 lon=85.0 wind=30 pres=986 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '03-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,12.0,date=03-08-006 time=0900 lat=19.5 lon=84.5 wind=30 pres=986 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '03-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,13.0,date=03-08-006 time=1200 lat=19.5 lon=84.0 wind=30 pres=986 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '03-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,14.0,date=03-08-006 time=1500 lat=19.5 lon=84.0 wind=30 pres=986 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '03-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,15.0,date=03-08-006 time=1800 lat=19.5 lon=83.5 wind=30 pres=986 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '03-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,16.0,date=03-08-006 time=2100 lat=19.5 lon=83.0 wind=30 pres=986 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '03-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,17.0,date=04-08-006 time=0000 lat=19.5 lon=83.0 wind=30 pres=986 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '04-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,18.0,date=04-08-006 time=0300 lat=20.0 lon=82.5 wind=30 pres=986 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '04-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,19.0,date=04-08-006 time=0600 lat=20.0 lon=82.5 wind=30 pres=986 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '04-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,20.0,date=04-08-006 time=0900 lat=20.5 lon=82.0 wind=25 pres=990 cat=D,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '04-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,21.0,date=04-08-006 time=1200 lat=21.0 lon=81.0 wind=25 pres=990 cat=D,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '04-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,22.0,date=04-08-006 time=1500 lat=21.0 lon=81.0 wind=25 pres=990 cat=D,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '04-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,23.0,date=04-08-006 time=1800 lat=21.0 lon=81.0 wind=25 pres=990 cat=D,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '04-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,24.0,date=04-08-006 time=2100 lat=21.0 lon=81.0 wind=25 pres=990 cat=D,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '04-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,25.0,date=05-08-006 time=0000 lat=21.0 lon=80.5 wind=25 pres=990 cat=D,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '05-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,26.0,date=05-08-006 time=0300 lat=21.0 lon=80.0 wind=25 pres=990 cat=D,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '05-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,27.0,date=05-08-006 time=0600 lat=21.0 lon=79.5 wind=25 pres=990 cat=D,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '05-08-006',HUMAN_REVIEW,False
2006,NIO_2006_UNNAMED_2_4_1,27_b1dd60_rsmc-2006 .pdf,36,Table 2.4.1,28.0,date=05-08-006 time=0900 lat=21.0 lon=79.5 wind=25 pres=990 cat=D,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '05-08-006',HUMAN_REVIEW,False
2007,,27_82fddf_rsmc-2007.pdf,18,,,"header=['Deep\nDepression\nover the Bay of\nBengal\n28-30 June', None, '28 June ,\n0000 UTC\nnear\n18.5/ 87.0', 'Crossed\nOrissa coast\nnear Puri\nbetween 0000-\n0100 UTC of 29\nJune', '986 hPa at\n0600 UTC of\n28 June\nNear 18.5/ 87.0', '30 kt at\n0300 UTC of\n28 June.', 'T 2.0']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'longitude', 'wind', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2007,,27_82fddf_rsmc-2007.pdf,19,,,"header=['S.No', 'Type', 'Ja\nn', 'Fe\nb', 'Mar', 'Ap\nr', 'May', 'Ju\nn', 'Jul', 'Au\ng', 'Se\np', 'Oc\nt', 'No\nv', 'De\nc', 'Life\nTime\nin\n(Days)']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2007,,27_82fddf_rsmc-2007.pdf,19,,,"header=['CI No.', '\uf0b31.5', '\uf0b32.0', '\uf0b32.5', '\uf0b33.0', '\uf0b34.0', '\uf0b35.0', '\uf0b36.0', '\uf0b37.0']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2007,,27_82fddf_rsmc-2007.pdf,19,,,"header=['Basin', 'Number of cyclonic disturbances']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2007,,27_82fddf_rsmc-2007.pdf,81,,,"header=['Date/Time(UTC)\nOf observations', 'Lat.N/Long. E', 'Character', 'Radius of eye\nKms.', 'Azimuth of the storm centre/\nRange from Station']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=confirmed; missing_groups=['time', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2007,,27_82fddf_rsmc-2007.pdf,81,,,"header=['Date Time\n(UTC) of\nobservations', 'Centre', 'Diameter of\nEYE (Kms)', 'Thickness of\nEye wall(Kms)', 'Estimated\nWind speed\nm/s']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=confirmed; missing_groups=['time', 'latitude', 'longitude', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2007,,27_82fddf_rsmc-2007.pdf,96,,,"header=['Models', 'Initial\nDate/time\nMAY 2007', 'Landfall\nFcst. point\n(0N/0E)', 'Landfall Fc\nDate/time\n(UTC)', 'Landfall\nError(km)', 'Landfall\ntime error']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2007,,27_82fddf_rsmc-2007.pdf,97,,,"header=['Models', 'Initial\nDate/time', 'Landfall/Fcst.\npoint (0N/0E)', 'Landfall\nFcst.\nDate/time\n(UTC)', 'Landfall\nError(km)', 'Landfall\ntime error']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2007,,27_82fddf_rsmc-2007.pdf,97,,,"header=['Models', 'Initial\nDate/time', 'Landfall/Fcst.\npoint (0N/0E)', 'Landfall\nFcst.\nDate/time\n(UTC)', 'Landfall\nError(km)', 'Landfall\ntime error']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2007,,27_82fddf_rsmc-2007.pdf,98,,,"header=['Date', 'Month', '12 H', '24 H', '36 H', '48 H', '60 H', '72 H']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['time', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2007,NIO_2007_UNNAMED_2_11_1,27_82fddf_rsmc-2007.pdf,75,Table 2.11.1,10.0,date=29-10-007 time=0000 lat=11.5 lon=66.0 wind=30 pres=1004 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '29-10-007',HUMAN_REVIEW,False
2007,NIO_2007_UNNAMED_2_11_1,27_82fddf_rsmc-2007.pdf,75,Table 2.11.1,11.0,date=29-10-007 time=0300 lat=11.5 lon=65.5 wind=30 pres=1002 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '29-10-007',HUMAN_REVIEW,False
2007,NIO_2007_UNNAMED_2_11_1,27_82fddf_rsmc-2007.pdf,75,Table 2.11.1,12.0,date=29-10-007 time=0600 lat=11.5 lon=65.5 wind=30 pres=1002 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '29-10-007',HUMAN_REVIEW,False
2007,NIO_2007_UNNAMED_2_11_1,27_82fddf_rsmc-2007.pdf,75,Table 2.11.1,13.0,date=29-10-007 time=0900 lat=11.5 lon=65.5 wind=30 pres=1002 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '29-10-007',HUMAN_REVIEW,False
2007,NIO_2007_UNNAMED_2_11_1,27_82fddf_rsmc-2007.pdf,75,Table 2.11.1,14.0,date=29-10-007 time=1200 lat=11.5 lon=65.5 wind=30 pres=1002 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '29-10-007',HUMAN_REVIEW,False
2007,NIO_2007_UNNAMED_2_11_1,27_82fddf_rsmc-2007.pdf,75,Table 2.11.1,15.0,date=29-10-007 time=1500 lat=11.5 lon=65.5 wind=30 pres=1002 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '29-10-007',HUMAN_REVIEW,False
2007,NIO_2007_UNNAMED_2_11_1,27_82fddf_rsmc-2007.pdf,75,Table 2.11.1,16.0,date=29-10-007 time=1800 lat=11.5 lon=65.5 wind=30 pres=1002 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '29-10-007',HUMAN_REVIEW,False
2007,NIO_2007_UNNAMED_2_11_1,27_82fddf_rsmc-2007.pdf,75,Table 2.11.1,17.0,date=29-10-007 time=2100 lat=11.5 lon=65.5 wind=30 pres=1002 cat=DD,MISSING_TIMESTAMP,TIMESTAMP: Unrecognized date format: '29-10-007',HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,21,,,"header=['1.', None, None, None, 'Very severe cyclonic storm “NARGIS” over the Bay of Bengal during 27\nApril- 3 May, 2008', None]",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,23,,,"header=['October.', '', 'near Long.\n89.50 E', '', '', '']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,24,,,"header=['S.No', 'Type', 'Life Time in (Days)']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,24,,,"header=['CI No.', '≥1.5', '≥2.0', '≥2.5', '≥3.0', '≥4.0', '≥5.0', '≥6.0', '≥7.0']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,24,,,"header=['Basin', 'Number of cyclonic disturbances']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,73,,,"header=['Date and time\n(UTC)', 'Position']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['time', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,73,,,"header=['Date', 'Time(UTC)', 'Position\n(lat/long)', 'AZ\nDeg.', 'Range', 'Confidence']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['wind', 'pressure', 'grade']; has_valid_row=True",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,87,,,"header=['Models', '', 'Initial\nDate/time', 'Landfall\nLat/Lon', 'Landfall\nPosition Error\n(Km)', 'Landfall time\nerror (IST)']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,87,,,"header=['Models', 'Initial\nDate/time', '12hr\nerror', '24 hr\nerror', '48 hr\nerror', '72 hr\nerror']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,88,,,"header=['UKMO', '2904/00\n3004/00\n0105/00', '-\n-\n-\n(mean)(cid:198)', '110\n54\n110\n(90)', '242\n460\n231\n(310)', '180\n175\n-\n(175)']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,88,,,"header=['GPP (x10-5) (cid:198)', None, None, None]",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,89,,,"header=['Based on\n↓', 'Forecasts hours\n(cid:198)', '00 hr', '12 hr', '24 hr', '36 hr', '48 hr', '60 hr', '72 hr']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,90,,,"header=['Base\nTime/Date', '12 hrs F/C', '24 hrs F/C(km)', '36 hrs F/C(km)', '48 hrs F/C(km)']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,90,,,"header=['Base\nTime/Date', '12 hrs F/C', '24 hrs F/C(km)', '36 hrs F/C(km)', '48 hrs F/C(km)']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,95,,,"header=['GPP (x10-5) (cid:198)', None, None, None]",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,95,,,"header=['Forecasts hours (cid:198)', '00 hr', '12 hr', '24 hr']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'time', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,96,,,"header=['Base\nTime/Date', '12 hrs F/C', '24 hrs F/C(km)', '36 hrs F/C(km)', '48 hrs F/C(km)']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
2008,,27_56679c_rsmc-2008.pdf,96,,,"header=['Base time of\nforecast', 'Landfall point\nerror (Km)', 'Landfall time\nerror (hrs)']",UNCERTAIN_TABLE_IDENTITY,"UNCERTAIN_TABLE_IDENTITY: heading=content_fallback; missing_groups=['date', 'latitude', 'longitude', 'wind', 'pressure', 'grade']; has_valid_row=False",HUMAN_REVIEW,False
