filename,file_size_bytes,sha256,actual_report_year,report_title,page_count,source_type,contains_best_track_tables,has_datetime,has_utc,has_latitude,has_longitude,has_wind,has_pressure,has_category,best_track_page_ranges,contains_multiple_storms,appears_complete,duplicate_group,recommended_role,recommended_canonical,notes
27_82fddf_rsmc-2007.pdf,4094091,ee339620c765f8db9d85804217ab993ee3cd9ac52c0d7c447c66cb1275e534ca,2007,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2007,98,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"12, 17, 22-23, 25-26, 31-32, 39, 41, 45-46, 50-51, 54, 57, 60, 62, 65, 67, 70-71, 74-75, 79-81, 91",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,Digital text report. Contains comprehensive Best Track tables for all 2007 cyclonic disturbances (including Gonu and Sidr).
27_56679c_rsmc-2008.pdf,5116647,a5c98f617b232bd1c6a625f7d84649538d1cad6f78ef79a1ee23325c0fcaf214,2008,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2008,108,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"13, 22, 28, 30, 37-38, 41-42, 44, 46-47, 52, 57, 63, 70, 73, 79",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,Digital text report. Contains comprehensive Best Track tables for all 2008 cyclonic disturbances (including Nargis).
27_4e34f3_rsmc-2009.pdf,4219277,ef3160860dc8aff9a496781f1f8bfaf3965332dd7f8e5744f1a8bda6e9549644,2009,CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2009: A REPORT,122,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"17, 27, 36, 39, 42, 44-45, 53, 62, 64, 66, 68, 71, 75, 78, 83, 85, 115, 119",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,Digital text report. Contains comprehensive Best Track tables for all 2009 cyclonic disturbances (including Aila).
27_7aaf4d_rsmc-2010.pdf,6514321,7a626a365d743b6bb0858d42910da2f52f7cde59ed70aa17fabf446bb0323c72,2010,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2010,162,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"16-17, 29, 35-36, 56-57, 61, 63, 76-77, 80, 82, 84, 91, 93, 100, 103",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,Digital text report. Contains comprehensive Best Track tables for all 2010 cyclonic disturbances (including Giri and Laila).
27_2f6165_rsmc-2011.pdf,15544946,26510ef934e02547b35a2115fc69a246ba31116c62df908fd7c559710e24570e,2011,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2011,186,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"16-17, 26, 32-33, 35, 39-40, 62-63, 67-68, 75, 80, 82-83, 97, 105, 107, 118-119",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,Digital text report. Contains comprehensive Best Track tables for all 2011 cyclonic disturbances (including Thane).
27_2138f3_rsmc-2012.pdf,11036196,c33813590c5831d8ca8fba53e27281613f1da73a4d19a475d5591ebe35731898,2012,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2012,214,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"19, 29, 34-35, 40, 46, 74-75, 93, 135-136, 148-149",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,Digital text report. Contains comprehensive Best Track tables for all 2012 cyclonic disturbances (including Nilam).
27_14ab8f_rsmc-2013.pdf,36277331,406b0ffad9e72967a8779a57475d299d3a77f468f82579bc76c61fa7bb14e3f5,2013,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2013,278,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"16, 26, 32-33, 46, 49, 55-56, 68-69, 78, 96, 99, 112-113, 121, 124-126, 139-140, 256-257, 263, 273",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,Digital text report. Contains comprehensive Best Track tables for all 2013 cyclonic disturbances (including Phailin).
27_4e1280_rsmc-2014.pdf,28292334,50db2e7fc85700c88dc34a6d610591169a2e926d0088651c16ec3dc473e6645f,2014,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2014,241,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"14, 16, 26, 32, 39-40, 52-53, 63, 69-70, 77, 79, 92, 105, 115, 134-135, 210-211, 213-214, 220, 224, 229, 232",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,Digital text report. Contains comprehensive Best Track tables for all 2014 cyclonic disturbances (including Hudhud).
27_9bbd0d_RSMC-2015.pdf,16086198,fe6325b81136e06644433f8947b2b62e798f84bbafc85f189a8a5041ba89c0b6,2015,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2015,338,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"14, 27, 35, 46-47, 54-55, 61-62, 69, 79, 81, 105-106, 110-111, 121, 124, 136, 140, 167, 172, 191-192, 234, 255, 309",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,Digital text report. Contains comprehensive Best Track tables for all 2015 cyclonic disturbances (including Chapala and Megh).
27_ad292c_rsmc-2016.pdf,59713613,1c862162f981a8cfdd6e1809f22ee3c9abcda4314bc7b2d6c4713a4deafdcf33,2016,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2016,271,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"13, 24, 31-32, 57-58, 65, 70-71, 78-79, 90, 109-110, 124-125, 142-143, 145, 173-174, 180, 245, 247, 250, 253, 256, 259",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,Digital text report. Contains comprehensive Best Track tables for all 2016 cyclonic disturbances (including Vardah).
27_bbaf11_rsmc-2017.pdf,20822211,bc8014cb715733de1ce0cbba07647ba3bcec23ce24c3b3707e488ed857864910,2017,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2017,328,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"17, 28, 36, 52, 54, 76, 84, 91, 99, 108, 125, 137, 148, 185, 187, 217, 227, 301, 304-305, 311",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,Digital text report. Contains comprehensive Best Track tables for all 2017 cyclonic disturbances (including Ockhi).
27_60dae9_rsmc-2018.pdf,80308759,2966e0f7899b079096f0a775ea0825b0650a7b64e81cb6808508beaac92f155b,2018,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2018,429,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"16, 18-19, 26, 33, 41-42, 48, 51, 66, 69, 90, 97, 103-104, 112, 121-122, 131-132, 142, 156, 161, 187, 191, 214, 218, 245-246, 252-253, 377, 389, 391, 397, 400",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,Digital text report. Contains comprehensive Best Track tables for all 2018 cyclonic disturbances (including Titli and Luban).
27_fddc6c_rsmc2020.pdf,80716260,21a6b7af66ee163b5649d1dbfdd9c8ccf08abdc792c894df3be60ec6f326ba16,2019,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2019,429,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"12, 15, 23, 31, 39, 42, 59, 96, 124, 140, 142, 157-158, 164, 168, 200, 203, 235, 257, 259, 278-279, 287-288, 314, 378",TRUE,TRUE,APPARENT_2020_DUPLICATE_RESOLVED,CORE_BEST_TRACK_SOURCE,TRUE,Filename rsmc2020.pdf is an external misnomer reflecting publication identifier No. MOES/IMD/RSMC-Tropical Cyclone Report No/01 (2020)/10. Content covers 2019 cyclone season including FANI. Sole source for 2019.
27_26e77b_rsmc-2020 with damage.pdf,84011933,9f968b2ad68131ac258ad0d9327e44fdf8f539977d0d4f0bf0aad3b1eb6e3138,2020,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2020,366,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"16, 23, 29, 37, 40, 94, 96, 105, 107, 128, 131, 150, 160, 172, 192, 223, 245, 303, 306, 314, 327, 330, 342",TRUE,TRUE,APPARENT_2020_DUPLICATE_RESOLVED,CORE_BEST_TRACK_SOURCE,TRUE,Publication identifier No. MOES/IMD/RSMC-Tropical Cyclone Report/01 (2021)/11. Covers 2020 cyclone season including AMPHAN. Includes damage assessment sections. Sole source for 2020.
27_81bdf0_RSMC Report 2021.pdf,59943504,2849fceb6442e9497ad69b58beb3bedc781097e1820b769b5682c4071c26e12b,2021,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2021,345,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"26, 32, 42, 54, 56, 58, 90-91, 93, 114-115, 118, 131-132, 146, 152, 172-173, 182, 194-195, 205, 207, 233, 289, 305, 321",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,Digital text report. Contains comprehensive Best Track tables for all 2021 cyclonic disturbances (including TAUKTAE and Yaas).
27_501da8_RSMC full report 2022 13 Jan.pdf,81695068,172e6491010c7ea4baba337ce77c46422ba4ca1ff1a5e11c6290bc7c0d751e71,2022,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2022,396,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"13, 22, 24, 33, 39, 48, 51, 62, 64, 80, 102-103, 114-115, 126-127, 139-140, 150, 165-166, 186-187, 196, 198, 216-217, 231, 234, 254, 256, 269, 271, 342",TRUE,TRUE,NONE,CORE_BEST_TRACK_SOURCE,TRUE,"Digital text report. Contains comprehensive Best Track tables for all 2022 cyclonic disturbances (including Asani, Sitrang, Mandous)."
27_7d3be4_Final_upload RSMC Report 2024 (1).pdf,86828972,3a0d2c2b041d17678abec37206e5786b470a24266dede8aef8d55f578f4d38fc,2023,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2023,438,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"30, 35, 44-45, 64, 66, 94, 123, 130-131, 143-144, 155-156, 180-181, 207-208, 225-226, 254, 258-259, 261, 263, 279, 298, 300, 349",TRUE,TRUE,APPARENT_2024_DUPLICATE_RESOLVED,CORE_BEST_TRACK_SOURCE,TRUE,Filename Final_upload RSMC Report 2024 (1).pdf is an external misnomer reflecting publication/upload date (Jan 2024). Content covers 2023 cyclone season including BIPARJOY and Mocha. Sole source for 2023.
27_a7fb96_27_ef4e32_RSMC-Report2024-for upload.pdf,82880963,a87291681b238647023878522c3dfe1ea577f28a661d55bda735c768b7b9fc6e,2024,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2024,416,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"8, 20-21, 26, 30-31, 35, 43-44, 71, 74-75, 86-87, 108, 136, 151-152, 165, 179-180, 202-203, 212-213, 225-226, 250-251, 254, 282-283, 315, 319, 340, 354, 362",TRUE,TRUE,APPARENT_2024_DUPLICATE_RESOLVED,CORE_BEST_TRACK_SOURCE,TRUE,"Publication identifier ESSO/MoES/IMD/RSMC-Tropical Cyclone Report/01(2025)/15. Covers 2024 cyclone season including REMAL, Asna, and Dana. Sole source for 2024."
27_c8dbd0_0_COVER_PAGE_RSMC_Report_2025.pdf,98097630,0dbd28e2ea0062767eacb17e8c34191463733e38cfb502c458133e2825568bab,2025,REPORT ON CYCLONIC DISTURBANCES OVER NORTH INDIAN OCEAN DURING 2025,397,ANNUAL_RSMC_REPORT_DIGITAL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"8, 19-20, 26, 38, 47, 61-62, 76, 85, 89-90, 100-101, 113-114, 123, 137, 152, 160-161, 166-167, 182, 188, 204, 230, 258, 276, 310, 314, 320, 351",TRUE,TRUE,NONE,FUTURE_EVALUATION_SET,TRUE,Filename indicates COVER_PAGE but document is a complete 397-page annual report with Best Track tables. Excluded from training/validation per frozen project rules; retained as optional future blind evaluation set.
