storm_id,storm_name,year,split,start_timestamp_utc,end_timestamp_utc,observation_count,max_wind_kt,min_pressure_hpa,peak_category,min_latitude,max_latitude,min_longitude,max_longitude
NIO_2007_UNNAMED_2_1_1,NIO_2007_UNNAMED_2_1_1,2007,TRAIN,2007-05-03T12:00:00+00:00,2007-05-04T21:00:00+00:00,12,25.0,998.0,D,13.5,16.0,93.0,94.0
NIO_2007_UNNAMED_2_2_1,NIO_2007_UNNAMED_2_2_1,2007,TRAIN,2007-05-13T03:00:00+00:00,2007-05-14T21:00:00+00:00,15,45.0,988.0,CS,15.0,21.0,90.5,92.0
NIO_2007_UNNAMED_2_3_1,NIO_2007_UNNAMED_2_3_1,2007,TRAIN,2007-06-01T18:00:00+00:00,2007-06-07T03:00:00+00:00,43,127.0,920.0,CS,15.0,25.5,58.5,68.0
NIO_2007_UNNAMED_05,NIO_2007_UNNAMED_05,2007,TRAIN,2007-06-21T03:00:00+00:00,2007-06-23T09:00:00+00:00,19,30.0,988.0,D,15.5,19.0,74.0,86.0
NIO_2007_UNNAMED_2_5_1,NIO_2007_UNNAMED_2_5_1,2007,TRAIN,2007-06-25T03:00:00+00:00,2007-06-26T00:00:00+00:00,8,35.0,986.0,CS,23.5,24.0,65.0,67.5
NIO_2007_UNNAMED_2_6_1,NIO_2007_UNNAMED_2_6_1,2007,TRAIN,2007-06-28T00:00:00+00:00,2007-06-30T12:00:00+00:00,21,30.0,986.0,D,18.5,22.5,80.5,87.0
NIO_2007_UNNAMED_08,NIO_2007_UNNAMED_08,2007,TRAIN,2007-07-04T03:00:00+00:00,2007-07-09T09:00:00+00:00,43,30.0,988.0,D,22.0,25.0,78.0,89.5
NIO_2007_UNNAMED_09,NIO_2007_UNNAMED_09,2007,TRAIN,2007-08-05T00:00:00+00:00,2007-08-07T09:00:00+00:00,20,30.0,984.0,D,20.0,22.5,80.5,88.5
NIO_2007_UNNAMED_10,NIO_2007_UNNAMED_10,2007,TRAIN,2007-09-21T12:00:00+00:00,2007-09-24T09:00:00+00:00,24,25.0,990.0,D,18.0,24.0,82.5,86.5
NIO_2007_UNNAMED_2_10_1,NIO_2007_UNNAMED_2_10_1,2007,TRAIN,2007-10-27T18:00:00+00:00,2007-10-29T00:00:00+00:00,10,25.0,1004.0,D,11.5,13.5,80.5,85.5
NIO_2007_UNNAMED_2_11_1,NIO_2007_UNNAMED_2_11_1,2007,TRAIN,2007-10-27T18:00:00+00:00,2007-11-02T09:00:00+00:00,37,30.0,1000.0,D,10.5,15.0,56.0,66.5
NIO_2007_UNNAMED_2_12_1,NIO_2007_UNNAMED_2_12_1,2007,TRAIN,2007-11-11T09:00:00+00:00,2007-11-16T03:00:00+00:00,39,115.0,944.0,D,10.0,24.5,89.0,92.0
NIO_2008_NARGIS,NARGIS,2008,TRAIN,2008-04-27T03:00:00+00:00,2008-05-02T03:00:00+00:00,41,77.0,972.0,VSCS,12.0,16.0,85.5,93.0
NIO_2008_UNNAMED_2_2_1,NIO_2008_UNNAMED_2_2_1,2008,TRAIN,2008-06-05T00:00:00+00:00,2008-06-06T21:00:00+00:00,16,25.0,994.0,D,15.5,20.0,61.0,66.0
NIO_2008_UNNAMED_2_3_1,NIO_2008_UNNAMED_2_3_1,2008,TRAIN,2008-06-16T03:00:00+00:00,2008-06-18T03:00:00+00:00,7,25.0,988.0,D,21.5,24.0,87.0,90.0
NIO_2008_UNNAMED_2_4_1,NIO_2008_UNNAMED_2_4_1,2008,TRAIN,2008-08-09T12:00:00+00:00,2008-08-10T09:00:00+00:00,3,25.0,988.0,D,20.0,22.5,85.2,86.0
NIO_2008_UNNAMED_2_5_1,NIO_2008_UNNAMED_2_5_1,2008,TRAIN,2008-09-15T12:00:00+00:00,2008-09-19T09:00:00+00:00,18,30.0,986.0,D,19.5,26.0,80.0,88.5
NIO_2008_UNNAMED_05,NIO_2008_UNNAMED_05,2008,TRAIN,2008-10-19T09:00:00+00:00,2008-10-22T12:00:00+00:00,8,30.0,1000.0,D,9.0,13.5,52.5,60.0
NIO_2008_RASHMI,RASHMI,2008,TRAIN,2008-10-25T03:00:00+00:00,2008-10-27T03:00:00+00:00,13,45.0,984.0,DD,16.5,23.0,86.5,91.0
NIO_2008_UNNAMED_2_8_1,NIO_2008_UNNAMED_2_8_1,2008,TRAIN,2008-11-13T12:00:00+00:00,2008-11-16T03:00:00+00:00,20,40.0,994.0,D,11.5,15.5,78.5,85.5
NIO_2008_NISHA,NISHA,2008,TRAIN,2008-11-25T09:00:00+00:00,2008-11-27T12:00:00+00:00,17,45.0,996.0,D,8.5,12.0,78.5,81.0
NIO_2008_UNNAMED_2_10_1,NIO_2008_UNNAMED_2_10_1,2008,TRAIN,2008-12-04T03:00:00+00:00,2008-12-07T12:00:00+00:00,17,30.0,1004.0,D,6.5,8.5,81.5,90.0
NIO_2009_BIJLI,BIJLI,2009,TRAIN,2009-04-14T09:00:00+00:00,2009-04-17T15:00:00+00:00,24,40.0,996.0,D,12.5,22.0,86.0,91.5
NIO_2009_WARD,WARD,2009,TRAIN,2009-05-11T00:00:00+00:00,2009-12-15T00:00:00+00:00,30,45.0,996.0,D,6.5,10.0,80.5,85.0
NIO_2009_UNNAMED_2_2_1,NIO_2009_UNNAMED_2_2_1,2009,TRAIN,2009-05-23T06:00:00+00:00,2009-05-25T12:00:00+00:00,16,60.0,968.0,SCS,16.5,22.5,88.0,88.5
NIO_2009_UNNAMED_2_3_1,NIO_2009_UNNAMED_2_3_1,2009,TRAIN,2009-06-23T00:00:00+00:00,2009-06-24T00:00:00+00:00,7,25.0,998.0,D,18.0,21.5,70.5,71.5
NIO_2009_UNNAMED_2_4_1,NIO_2009_UNNAMED_2_4_1,2009,TRAIN,2009-06-25T09:00:00+00:00,2009-06-25T18:00:00+00:00,3,25.0,996.0,D,22.5,23.0,68.5,68.5
NIO_2009_UNNAMED_2_5_1,NIO_2009_UNNAMED_2_5_1,2009,TRAIN,2009-07-20T03:00:00+00:00,2009-07-21T06:00:00+00:00,7,30.0,988.0,D,21.0,22.0,84.0,88.5
NIO_2009_UNNAMED_2_6_1,NIO_2009_UNNAMED_2_6_1,2009,TRAIN,2009-09-05T00:00:00+00:00,2009-09-07T09:00:00+00:00,14,30.0,988.0,D,20.5,24.5,84.0,88.0
NIO_2009_PHYAN,PHYAN,2009,TRAIN,2009-11-09T09:00:00+00:00,2009-11-11T18:00:00+00:00,16,45.0,988.0,CS,11.0,20.0,70.5,74.0
NIO_2010_IS,IS,2010,TRAIN,2010-05-17T06:00:00+00:00,2010-05-19T06:00:00+00:00,14,55.0,986.0,SCS,10.5,13.5,81.5,88.5
NIO_2010_BANDU,BANDU,2010,TRAIN,2010-05-19T09:00:00+00:00,2010-05-22T18:00:00+00:00,25,40.0,994.0,D,10.5,12.5,50.0,54.0
NIO_2010_PHET,PHET,2010,TRAIN,2010-05-31T06:00:00+00:00,2010-06-03T06:00:00+00:00,22,85.0,964.0,VSCS,15.0,19.0,59.5,64.0
NIO_2010_UNNAMED_2_4_1,NIO_2010_UNNAMED_2_4_1,2010,TRAIN,2010-10-07T03:00:00+00:00,2010-10-08T18:00:00+00:00,9,25.0,996.0,D,16.5,24.5,84.5,91.0
NIO_2010_UNNAMED_2_5_1,NIO_2010_UNNAMED_2_5_1,2010,TRAIN,2010-10-13T06:00:00+00:00,2010-10-16T00:00:00+00:00,14,30.0,995.0,D,17.5,19.5,84.0,90.0
NIO_2010_GIRI,GIRI,2010,TRAIN,2010-10-20T12:00:00+00:00,2010-10-23T06:00:00+00:00,21,105.0,950.0,D,17.5,22.0,91.5,95.5
NIO_2010_JAL,JAL,2010,TRAIN,2010-11-04T00:00:00+00:00,2010-11-08T03:00:00+00:00,30,60.0,988.0,D,8.0,15.0,78.0,92.0
NIO_2011_UNNAMED_2_1_1,NIO_2011_UNNAMED_2_1_1,2011,TRAIN,2011-02-02T09:00:00+00:00,2011-02-02T18:00:00+00:00,3,25.0,1002.0,D,6.5,6.5,82.5,82.5
NIO_2011_UNNAMED_2_2_1,NIO_2011_UNNAMED_2_2_1,2011,TRAIN,2011-06-11T12:00:00+00:00,2011-06-12T06:00:00+00:00,5,25.0,996.0,D,20.0,21.0,70.5,71.5
NIO_2011_UNNAMED_2_3_1,NIO_2011_UNNAMED_2_3_1,2011,TRAIN,2011-06-16T03:00:00+00:00,2011-06-22T18:00:00+00:00,34,35.0,978.0,D,21.5,24.5,78.5,89.0
NIO_2011_UNNAMED_2_4_1,NIO_2011_UNNAMED_2_4_1,2011,TRAIN,2011-07-22T03:00:00+00:00,2011-07-23T00:00:00+00:00,4,20.0,990.0,D,23.5,24.5,80.5,84.5
NIO_2011_IS,IS,2011,TRAIN,2011-09-22T03:00:00+00:00,2011-10-20T00:00:00+00:00,13,30.0,995.0,D,20.0,22.5,86.5,93.5
NIO_2011_KEILA,KEILA,2011,TRAIN,2011-10-29T00:00:00+00:00,2011-11-02T18:00:00+00:00,25,35.0,996.0,DD,13.0,17.1,54.2,62.0
NIO_2011_UNNAMED_2_8_1,NIO_2011_UNNAMED_2_8_1,2011,TRAIN,2011-11-06T06:00:00+00:00,2011-11-10T03:00:00+00:00,20,30.0,1000.0,D,10.5,16.0,58.5,65.5
NIO_2011_UNNAMED_2_9_1,NIO_2011_UNNAMED_2_9_1,2011,TRAIN,2011-11-26T03:00:00+00:00,2011-12-01T06:00:00+00:00,26,30.0,998.0,D,7.5,19.5,62.5,76.0
NIO_2011_THANE,THANE,2011,TRAIN,2011-12-25T12:00:00+00:00,2011-12-30T12:00:00+00:00,36,75.0,969.0,D,8.5,12.5,78.2,88.5
NIO_2012_UNNAMED_2_1_1,NIO_2012_UNNAMED_2_1_1,2012,TRAIN,2012-10-10T12:00:00+00:00,2012-10-11T03:00:00+00:00,5,30.0,1002.0,D,21.0,23.0,91.0,91.5
NIO_2012_MURJAN,MURJAN,2012,TRAIN,2012-10-23T03:00:00+00:00,2012-10-26T03:00:00+00:00,12,40.0,1000.0,D,9.5,11.5,48.5,65.0
NIO_2012_NILAM,NILAM,2012,TRAIN,2012-10-28T06:00:00+00:00,2012-10-31T06:00:00+00:00,18,45.0,987.0,CS,9.0,11.5,81.0,86.0
NIO_2012_UNNAMED_2_4_1,NIO_2012_UNNAMED_2_4_1,2012,TRAIN,2012-11-17T06:00:00+00:00,2012-11-19T12:00:00+00:00,12,30.0,1002.0,D,11.5,16.0,86.0,90.0
NIO_2012_ECEMBER,ECEMBER,2012,TRAIN,2012-12-22T09:00:00+00:00,2012-12-25T00:00:00+00:00,8,30.0,1002.0,D,6.5,9.0,50.0,63.0
NIO_2013_VIYARU,VIYARU,2013,TRAIN,2013-05-10T09:00:00+00:00,2013-05-15T06:00:00+00:00,38,45.0,990.0,CS,5.0,17.0,85.5,92.0
NIO_2013_UNNAMED_2_2_1,NIO_2013_UNNAMED_2_2_1,2013,TRAIN,2013-05-29T03:00:00+00:00,2013-05-31T09:00:00+00:00,15,25.0,990.0,D,21.0,25.0,87.0,89.5
NIO_2013_UNNAMED_2_3_1,NIO_2013_UNNAMED_2_3_1,2013,TRAIN,2013-07-30T03:00:00+00:00,2013-08-01T00:00:00+00:00,9,25.0,990.0,D,21.0,22.5,80.0,88.0
NIO_2013_IGHA,IGHA,2013,TRAIN,2013-08-20T00:00:00+00:00,2013-08-20T03:00:00+00:00,2,25.0,990.0,D,22.0,22.0,87.5,87.5
NIO_2013_PHAILIN,PHAILIN,2013,TRAIN,2013-10-08T03:00:00+00:00,2013-10-13T00:00:00+00:00,37,115.0,940.0,VSCS,12.0,20.5,84.5,96.0
NIO_2013_UNNAMED_2_6_1,NIO_2013_UNNAMED_2_6_1,2013,TRAIN,2013-11-08T06:00:00+00:00,2013-11-11T06:00:00+00:00,16,30.0,1002.0,D,8.0,8.7,49.3,56.5
NIO_2013_UNNAMED_2_8_1,NIO_2013_UNNAMED_2_8_1,2013,TRAIN,2013-11-19T00:00:00+00:00,2013-11-22T18:00:00+00:00,28,55.0,990.0,SCS,14.5,16.2,80.4,86.5
NIO_2013_LEHAR,LEHAR,2013,TRAIN,2013-11-23T12:00:00+00:00,2013-11-28T03:00:00+00:00,36,75.0,980.0,DD,8.5,15.7,81.7,96.5
NIO_2013_MADI,MADI,2013,TRAIN,2013-12-06T03:00:00+00:00,2013-12-10T12:00:00+00:00,33,65.0,986.0,SCS,10.0,15.7,84.0,85.3
NIO_2014_ARE,ARE,2014,TRAIN,2014-01-04T03:00:00+00:00,2014-05-23T00:00:00+00:00,14,25.0,1000.0,D,8.5,17.5,82.5,92.5
NIO_2014_UNNAMED_2_3_1,NIO_2014_UNNAMED_2_3_1,2014,TRAIN,2014-06-10T09:00:00+00:00,2014-06-14T00:00:00+00:00,26,45.0,986.0,D,15.5,20.5,62.0,68.5
NIO_2014_UNNAMED_02,NIO_2014_UNNAMED_02,2014,TRAIN,2014-07-21T03:00:00+00:00,2014-07-22T00:00:00+00:00,5,25.0,988.0,D,22.0,22.5,83.0,87.0
NIO_2014_UNNAMED_03,NIO_2014_UNNAMED_03,2014,TRAIN,2014-08-03T12:00:00+00:00,2014-08-07T00:00:00+00:00,19,30.0,990.0,D,21.5,25.5,78.5,88.5
NIO_2014_HUDHUD,HUDHUD,2014,TRAIN,2014-10-07T03:00:00+00:00,2014-10-08T03:00:00+00:00,6,35.0,998.0,CS,11.5,12.3,92.9,95.0
NIO_2014_NILOFAR,NILOFAR,2014,TRAIN,2014-10-25T00:00:00+00:00,2014-10-28T00:00:00+00:00,22,75.0,978.0,VSCS,12.5,15.7,61.0,62.0
NIO_2014_UNNAMED_04,NIO_2014_UNNAMED_04,2014,TRAIN,2014-11-05T09:00:00+00:00,2014-11-08T00:00:00+00:00,14,30.0,998.0,D,13.0,14.3,86.5,88.0
NIO_2015_ASHOBAA,ASHOBAA,2015,TRAIN,2015-06-07T03:00:00+00:00,2015-06-08T00:00:00+00:00,5,30.0,996.0,DD,14.5,17.5,67.5,68.5
NIO_2015_UNNAMED_2_2_1,NIO_2015_UNNAMED_2_2_1,2015,TRAIN,2015-06-20T03:00:00+00:00,2015-06-21T18:00:00+00:00,9,25.0,990.0,D,18.0,21.0,84.5,86.0
NIO_2015_UNNAMED_2_3_1,NIO_2015_UNNAMED_2_3_1,2015,TRAIN,2015-06-22T03:00:00+00:00,2015-06-24T18:00:00+00:00,14,30.0,988.0,D,20.0,26.0,67.0,76.0
NIO_2015_UNNAMED_2_4_1,NIO_2015_UNNAMED_2_4_1,2015,TRAIN,2015-07-10T03:00:00+00:00,2015-07-12T09:00:00+00:00,19,25.0,994.0,D,23.1,28.5,77.3,85.1
NIO_2015_KOMEN,KOMEN,2015,TRAIN,2015-07-26T00:00:00+00:00,2015-07-31T00:00:00+00:00,29,40.0,986.0,DD,21.0,23.1,90.0,91.4
NIO_2015_UNNAMED_2_5_1,NIO_2015_UNNAMED_2_5_1,2015,TRAIN,2015-07-27T12:00:00+00:00,2015-07-29T06:00:00+00:00,15,30.0,994.0,D,24.8,27.2,71.8,73.0
NIO_2015_UNNAMED_2_7_1,NIO_2015_UNNAMED_2_7_1,2015,TRAIN,2015-08-04T03:00:00+00:00,2015-08-04T18:00:00+00:00,5,25.0,998.0,D,22.7,22.7,77.8,80.5
NIO_2015_UNNAMED_2_8_1,NIO_2015_UNNAMED_2_8_1,2015,TRAIN,2015-09-16T03:00:00+00:00,2015-09-19T00:00:00+00:00,24,30.0,996.0,D,19.6,21.1,74.5,83.5
NIO_2015_UNNAMED_2_9_1,NIO_2015_UNNAMED_2_9_1,2015,TRAIN,2015-10-09T00:00:00+00:00,2015-10-12T00:00:00+00:00,16,30.0,1000.0,D,14.0,16.1,69.0,70.3
NIO_2015_CHAPALA,CHAPALA,2015,TRAIN,2015-10-28T03:00:00+00:00,2015-11-01T06:00:00+00:00,31,115.0,940.0,ESCS,11.5,14.3,55.6,65.0
NIO_2015_MEGH,MEGH,2015,TRAIN,2015-11-05T00:00:00+00:00,2015-11-08T18:00:00+00:00,30,95.0,964.0,ESCS,12.5,14.1,52.4,66.0
NIO_2015_UNNAMED_2_12_1,NIO_2015_UNNAMED_2_12_1,2015,TRAIN,2015-11-08T03:00:00+00:00,2015-11-10T03:00:00+00:00,11,30.0,996.0,D,10.7,12.4,79.3,83.7
NIO_2016_UNNAMED_2_1_1,NIO_2016_UNNAMED_2_1_1,2016,TRAIN,2016-05-17T03:00:00+00:00,2016-05-18T18:00:00+00:00,9,30.0,994.0,DD,11.0,14.4,80.7,81.0
NIO_2016_UNNAMED_2_2_1,NIO_2016_UNNAMED_2_2_1,2016,TRAIN,2016-06-27T09:00:00+00:00,2016-06-29T00:00:00+00:00,9,25.0,996.0,D,20.3,21.8,62.3,64.5
NIO_2016_UNNAMED_2_3_1,NIO_2016_UNNAMED_2_3_1,2016,TRAIN,2016-07-06T03:00:00+00:00,2016-07-07T00:00:00+00:00,5,25.0,996.0,D,24.8,24.8,81.0,81.5
NIO_2016_UNNAMED_2_4_1,NIO_2016_UNNAMED_2_4_1,2016,TRAIN,2016-08-09T09:00:00+00:00,2016-08-12T18:00:00+00:00,18,30.0,994.0,D,22.0,24.4,84.0,89.7
NIO_2016_UNNAMED_2_5_1,NIO_2016_UNNAMED_2_5_1,2016,TRAIN,2016-08-16T12:00:00+00:00,2016-08-20T18:00:00+00:00,22,25.0,994.0,D,21.0,25.0,76.5,89.0
NIO_2016_KYANT,KYANT,2016,TRAIN,2016-10-21T00:00:00+00:00,2016-10-27T03:00:00+00:00,32,40.0,988.0,DD,13.5,17.1,85.1,93.2
NIO_2016_UNNAMED_2_7_1,NIO_2016_UNNAMED_2_7_1,2016,TRAIN,2016-11-02T15:00:00+00:00,2016-11-06T03:00:00+00:00,9,20.0,996.0,D,12.8,21.0,84.7,91.5
