sample_id,storm_id,split,t0,frame_t_minus_15h,frame_t_minus_12h,frame_t_minus_9h,frame_t_minus_6h,frame_t_minus_3h,frame_t0,imd_lat_t0,imd_lon_t0,imd_wind_t0,imd_pressure_t0,imd_category_t0,imd_lat_12h,imd_lon_12h,wind_12h,pressure_12h,category_12h,imd_lat_24h,imd_lon_24h,wind_24h,pressure_24h,category_24h,imd_lat_48h,imd_lon_48h,wind_48h,pressure_48h,category_48h
NIO_2005_UNNAMED_2_10_20051128_0900Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-28T09:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.27.18.npz,data/interim/gridsat/2005/gridsat_2005.11.27.21.npz,data/interim/gridsat/2005/gridsat_2005.11.28.00.npz,data/interim/gridsat/2005/gridsat_2005.11.28.03.npz,data/interim/gridsat/2005/gridsat_2005.11.28.06.npz,data/interim/gridsat/2005/gridsat_2005.11.28.09.npz,10.5,89.0,30.0,1004.0,DD,10.5,88.0,35.0,1004.0,CS,11.5,85.0,45.0,998.0,CS,12.5,84.0,35.0,998.0,CS
NIO_2005_UNNAMED_2_10_20051128_1200Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-28T12:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.27.21.npz,data/interim/gridsat/2005/gridsat_2005.11.28.00.npz,data/interim/gridsat/2005/gridsat_2005.11.28.03.npz,data/interim/gridsat/2005/gridsat_2005.11.28.06.npz,data/interim/gridsat/2005/gridsat_2005.11.28.09.npz,data/interim/gridsat/2005/gridsat_2005.11.28.12.npz,10.5,88.5,30.0,1004.0,DD,10.5,87.5,35.0,1002.0,CS,12.0,84.0,45.0,998.0,CS,12.5,84.0,35.0,998.0,CS
NIO_2005_UNNAMED_2_10_20051128_1500Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-28T15:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.28.00.npz,data/interim/gridsat/2005/gridsat_2005.11.28.03.npz,data/interim/gridsat/2005/gridsat_2005.11.28.06.npz,data/interim/gridsat/2005/gridsat_2005.11.28.09.npz,data/interim/gridsat/2005/gridsat_2005.11.28.12.npz,data/interim/gridsat/2005/gridsat_2005.11.28.15.npz,10.5,88.0,30.0,1004.0,DD,10.5,87.0,45.0,1002.0,CS,12.0,84.0,45.0,998.0,CS,12.5,84.0,35.0,998.0,CS
NIO_2005_UNNAMED_2_10_20051128_1800Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-28T18:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.28.03.npz,data/interim/gridsat/2005/gridsat_2005.11.28.06.npz,data/interim/gridsat/2005/gridsat_2005.11.28.09.npz,data/interim/gridsat/2005/gridsat_2005.11.28.12.npz,data/interim/gridsat/2005/gridsat_2005.11.28.15.npz,data/interim/gridsat/2005/gridsat_2005.11.28.18.npz,10.5,88.0,35.0,1004.0,CS,11.0,86.0,45.0,998.0,CS,12.0,84.0,45.0,998.0,CS,12.5,84.0,35.0,998.0,CS
NIO_2005_UNNAMED_2_10_20051128_2100Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-28T21:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.28.06.npz,data/interim/gridsat/2005/gridsat_2005.11.28.09.npz,data/interim/gridsat/2005/gridsat_2005.11.28.12.npz,data/interim/gridsat/2005/gridsat_2005.11.28.15.npz,data/interim/gridsat/2005/gridsat_2005.11.28.18.npz,data/interim/gridsat/2005/gridsat_2005.11.28.21.npz,10.5,88.0,35.0,1004.0,CS,11.5,85.0,45.0,998.0,CS,12.0,84.0,45.0,998.0,CS,12.5,84.0,35.0,998.0,CS
NIO_2005_UNNAMED_2_10_20051129_0000Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-29T00:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.28.09.npz,data/interim/gridsat/2005/gridsat_2005.11.28.12.npz,data/interim/gridsat/2005/gridsat_2005.11.28.15.npz,data/interim/gridsat/2005/gridsat_2005.11.28.18.npz,data/interim/gridsat/2005/gridsat_2005.11.28.21.npz,data/interim/gridsat/2005/gridsat_2005.11.29.00.npz,10.5,87.5,35.0,1002.0,CS,12.0,84.0,45.0,998.0,CS,12.0,84.0,45.0,998.0,CS,12.5,84.0,35.0,998.0,CS
NIO_2005_UNNAMED_2_10_20051129_0300Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-29T03:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.28.12.npz,data/interim/gridsat/2005/gridsat_2005.11.28.15.npz,data/interim/gridsat/2005/gridsat_2005.11.28.18.npz,data/interim/gridsat/2005/gridsat_2005.11.28.21.npz,data/interim/gridsat/2005/gridsat_2005.11.29.00.npz,data/interim/gridsat/2005/gridsat_2005.11.29.03.npz,10.5,87.0,45.0,1002.0,CS,12.0,84.0,45.0,998.0,CS,12.0,84.0,45.0,998.0,CS,12.5,84.0,35.0,998.0,CS
NIO_2005_UNNAMED_2_10_20051129_0600Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-29T06:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.28.15.npz,data/interim/gridsat/2005/gridsat_2005.11.28.18.npz,data/interim/gridsat/2005/gridsat_2005.11.28.21.npz,data/interim/gridsat/2005/gridsat_2005.11.29.00.npz,data/interim/gridsat/2005/gridsat_2005.11.29.03.npz,data/interim/gridsat/2005/gridsat_2005.11.29.06.npz,11.0,86.0,45.0,998.0,CS,12.0,84.0,45.0,998.0,CS,12.5,84.0,35.0,998.0,CS,12.5,83.5,35.0,998.0,CS
NIO_2005_UNNAMED_2_10_20051129_0900Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-29T09:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.28.18.npz,data/interim/gridsat/2005/gridsat_2005.11.28.21.npz,data/interim/gridsat/2005/gridsat_2005.11.29.00.npz,data/interim/gridsat/2005/gridsat_2005.11.29.03.npz,data/interim/gridsat/2005/gridsat_2005.11.29.06.npz,data/interim/gridsat/2005/gridsat_2005.11.29.09.npz,11.5,85.0,45.0,998.0,CS,12.0,84.0,45.0,998.0,CS,12.5,84.0,35.0,998.0,CS,12.5,83.5,35.0,998.0,CS
NIO_2005_UNNAMED_2_10_20051129_1200Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-29T12:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.28.21.npz,data/interim/gridsat/2005/gridsat_2005.11.29.00.npz,data/interim/gridsat/2005/gridsat_2005.11.29.03.npz,data/interim/gridsat/2005/gridsat_2005.11.29.06.npz,data/interim/gridsat/2005/gridsat_2005.11.29.09.npz,data/interim/gridsat/2005/gridsat_2005.11.29.12.npz,12.0,84.0,45.0,998.0,CS,12.0,84.0,45.0,998.0,CS,12.5,84.0,35.0,998.0,CS,12.5,83.5,30.0,998.0,DD
NIO_2005_UNNAMED_2_10_20051129_1500Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-29T15:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.29.00.npz,data/interim/gridsat/2005/gridsat_2005.11.29.03.npz,data/interim/gridsat/2005/gridsat_2005.11.29.06.npz,data/interim/gridsat/2005/gridsat_2005.11.29.09.npz,data/interim/gridsat/2005/gridsat_2005.11.29.12.npz,data/interim/gridsat/2005/gridsat_2005.11.29.15.npz,12.0,84.0,45.0,998.0,CS,12.0,84.0,45.0,998.0,CS,12.5,84.0,35.0,998.0,CS,12.5,83.5,30.0,998.0,DD
NIO_2005_UNNAMED_2_10_20051129_1800Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-29T18:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.29.03.npz,data/interim/gridsat/2005/gridsat_2005.11.29.06.npz,data/interim/gridsat/2005/gridsat_2005.11.29.09.npz,data/interim/gridsat/2005/gridsat_2005.11.29.12.npz,data/interim/gridsat/2005/gridsat_2005.11.29.15.npz,data/interim/gridsat/2005/gridsat_2005.11.29.18.npz,12.0,84.0,45.0,998.0,CS,12.5,84.0,35.0,998.0,CS,12.5,84.0,35.0,998.0,CS,13.0,83.0,30.0,998.0,DD
NIO_2005_UNNAMED_2_10_20051129_2100Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-29T21:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.29.06.npz,data/interim/gridsat/2005/gridsat_2005.11.29.09.npz,data/interim/gridsat/2005/gridsat_2005.11.29.12.npz,data/interim/gridsat/2005/gridsat_2005.11.29.15.npz,data/interim/gridsat/2005/gridsat_2005.11.29.18.npz,data/interim/gridsat/2005/gridsat_2005.11.29.21.npz,12.0,84.0,45.0,998.0,CS,12.5,84.0,35.0,998.0,CS,12.5,84.0,35.0,998.0,CS,13.0,83.0,30.0,998.0,DD
NIO_2005_UNNAMED_2_10_20051130_0000Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-30T00:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.29.09.npz,data/interim/gridsat/2005/gridsat_2005.11.29.12.npz,data/interim/gridsat/2005/gridsat_2005.11.29.15.npz,data/interim/gridsat/2005/gridsat_2005.11.29.18.npz,data/interim/gridsat/2005/gridsat_2005.11.29.21.npz,data/interim/gridsat/2005/gridsat_2005.11.30.00.npz,12.0,84.0,45.0,998.0,CS,12.5,84.0,35.0,998.0,CS,12.5,84.0,35.0,998.0,CS,13.0,82.5,25.0,1002.0,D
NIO_2005_UNNAMED_2_10_20051130_0300Z,NIO_2005_UNNAMED_2_10,TRAIN,2005-11-30T03:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.11.29.12.npz,data/interim/gridsat/2005/gridsat_2005.11.29.15.npz,data/interim/gridsat/2005/gridsat_2005.11.29.18.npz,data/interim/gridsat/2005/gridsat_2005.11.29.21.npz,data/interim/gridsat/2005/gridsat_2005.11.30.00.npz,data/interim/gridsat/2005/gridsat_2005.11.30.03.npz,12.0,84.0,45.0,998.0,CS,12.5,84.0,35.0,998.0,CS,12.5,84.0,35.0,998.0,CS,13.0,82.5,25.0,1004.0,D
NIO_2005_UNNAMED_2_11_1_20051206_0300Z,NIO_2005_UNNAMED_2_11_1,TRAIN,2005-12-06T03:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.12.05.12.npz,data/interim/gridsat/2005/gridsat_2005.12.05.15.npz,data/interim/gridsat/2005/gridsat_2005.12.05.18.npz,data/interim/gridsat/2005/gridsat_2005.12.05.21.npz,data/interim/gridsat/2005/gridsat_2005.12.06.00.npz,data/interim/gridsat/2005/gridsat_2005.12.06.03.npz,10.5,89.5,25.0,1006.0,D,11.0,89.0,30.0,1004.0,DD,11.0,87.5,35.0,1000.0,CS,10.5,86.0,45.0,998.0,CS
NIO_2005_UNNAMED_2_11_1_20051206_0600Z,NIO_2005_UNNAMED_2_11_1,TRAIN,2005-12-06T06:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.12.05.15.npz,data/interim/gridsat/2005/gridsat_2005.12.05.18.npz,data/interim/gridsat/2005/gridsat_2005.12.05.21.npz,data/interim/gridsat/2005/gridsat_2005.12.06.00.npz,data/interim/gridsat/2005/gridsat_2005.12.06.03.npz,data/interim/gridsat/2005/gridsat_2005.12.06.06.npz,10.5,89.5,25.0,1004.0,D,11.0,88.5,30.0,1004.0,DD,11.0,87.0,40.0,1000.0,CS,10.5,85.5,45.0,998.0,CS
NIO_2005_UNNAMED_2_11_1_20051206_0900Z,NIO_2005_UNNAMED_2_11_1,TRAIN,2005-12-06T09:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.12.05.18.npz,data/interim/gridsat/2005/gridsat_2005.12.05.21.npz,data/interim/gridsat/2005/gridsat_2005.12.06.00.npz,data/interim/gridsat/2005/gridsat_2005.12.06.03.npz,data/interim/gridsat/2005/gridsat_2005.12.06.06.npz,data/interim/gridsat/2005/gridsat_2005.12.06.09.npz,11.0,89.0,30.0,1004.0,DD,11.0,88.5,30.0,1004.0,DD,11.0,86.5,45.0,998.0,CS,10.5,85.0,45.0,998.0,CS
NIO_2005_UNNAMED_2_11_1_20051206_1200Z,NIO_2005_UNNAMED_2_11_1,TRAIN,2005-12-06T12:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.12.05.21.npz,data/interim/gridsat/2005/gridsat_2005.12.06.00.npz,data/interim/gridsat/2005/gridsat_2005.12.06.03.npz,data/interim/gridsat/2005/gridsat_2005.12.06.06.npz,data/interim/gridsat/2005/gridsat_2005.12.06.09.npz,data/interim/gridsat/2005/gridsat_2005.12.06.12.npz,11.0,89.0,30.0,1004.0,DD,11.0,88.5,30.0,1002.0,DD,11.0,86.5,45.0,998.0,CS,10.5,84.5,45.0,998.0,CS
NIO_2005_UNNAMED_2_11_1_20051206_1500Z,NIO_2005_UNNAMED_2_11_1,TRAIN,2005-12-06T15:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.12.06.00.npz,data/interim/gridsat/2005/gridsat_2005.12.06.03.npz,data/interim/gridsat/2005/gridsat_2005.12.06.06.npz,data/interim/gridsat/2005/gridsat_2005.12.06.09.npz,data/interim/gridsat/2005/gridsat_2005.12.06.12.npz,data/interim/gridsat/2005/gridsat_2005.12.06.15.npz,11.0,89.0,30.0,1004.0,DD,11.0,87.5,35.0,1000.0,CS,11.0,86.5,45.0,998.0,CS,10.5,84.5,45.0,998.0,CS
NIO_2005_UNNAMED_2_11_1_20051206_1800Z,NIO_2005_UNNAMED_2_11_1,TRAIN,2005-12-06T18:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.12.06.03.npz,data/interim/gridsat/2005/gridsat_2005.12.06.06.npz,data/interim/gridsat/2005/gridsat_2005.12.06.09.npz,data/interim/gridsat/2005/gridsat_2005.12.06.12.npz,data/interim/gridsat/2005/gridsat_2005.12.06.15.npz,data/interim/gridsat/2005/gridsat_2005.12.06.18.npz,11.0,88.5,30.0,1004.0,DD,11.0,87.0,40.0,1000.0,CS,11.0,86.0,45.0,998.0,CS,10.5,84.0,45.0,998.0,CS
NIO_2005_UNNAMED_2_11_1_20051206_2100Z,NIO_2005_UNNAMED_2_11_1,TRAIN,2005-12-06T21:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.12.06.06.npz,data/interim/gridsat/2005/gridsat_2005.12.06.09.npz,data/interim/gridsat/2005/gridsat_2005.12.06.12.npz,data/interim/gridsat/2005/gridsat_2005.12.06.15.npz,data/interim/gridsat/2005/gridsat_2005.12.06.18.npz,data/interim/gridsat/2005/gridsat_2005.12.06.21.npz,11.0,88.5,30.0,1004.0,DD,11.0,86.5,45.0,998.0,CS,11.0,86.0,45.0,998.0,CS,10.5,84.0,45.0,998.0,CS
NIO_2005_UNNAMED_2_11_1_20051207_0000Z,NIO_2005_UNNAMED_2_11_1,TRAIN,2005-12-07T00:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.12.06.09.npz,data/interim/gridsat/2005/gridsat_2005.12.06.12.npz,data/interim/gridsat/2005/gridsat_2005.12.06.15.npz,data/interim/gridsat/2005/gridsat_2005.12.06.18.npz,data/interim/gridsat/2005/gridsat_2005.12.06.21.npz,data/interim/gridsat/2005/gridsat_2005.12.07.00.npz,11.0,88.5,30.0,1002.0,DD,11.0,86.5,45.0,998.0,CS,11.0,86.0,45.0,998.0,CS,10.5,83.5,45.0,998.0,CS
NIO_2005_UNNAMED_2_11_1_20051207_0300Z,NIO_2005_UNNAMED_2_11_1,TRAIN,2005-12-07T03:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.12.06.12.npz,data/interim/gridsat/2005/gridsat_2005.12.06.15.npz,data/interim/gridsat/2005/gridsat_2005.12.06.18.npz,data/interim/gridsat/2005/gridsat_2005.12.06.21.npz,data/interim/gridsat/2005/gridsat_2005.12.07.00.npz,data/interim/gridsat/2005/gridsat_2005.12.07.03.npz,11.0,87.5,35.0,1000.0,CS,11.0,86.5,45.0,998.0,CS,10.5,86.0,45.0,998.0,CS,10.5,83.0,45.0,998.0,CS
NIO_2005_UNNAMED_2_11_1_20051207_0600Z,NIO_2005_UNNAMED_2_11_1,TRAIN,2005-12-07T06:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.12.06.15.npz,data/interim/gridsat/2005/gridsat_2005.12.06.18.npz,data/interim/gridsat/2005/gridsat_2005.12.06.21.npz,data/interim/gridsat/2005/gridsat_2005.12.07.00.npz,data/interim/gridsat/2005/gridsat_2005.12.07.03.npz,data/interim/gridsat/2005/gridsat_2005.12.07.06.npz,11.0,87.0,40.0,1000.0,CS,11.0,86.0,45.0,998.0,CS,10.5,85.5,45.0,998.0,CS,10.5,83.0,45.0,998.0,CS
NIO_2005_UNNAMED_2_11_1_20051207_0900Z,NIO_2005_UNNAMED_2_11_1,TRAIN,2005-12-07T09:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.12.06.18.npz,data/interim/gridsat/2005/gridsat_2005.12.06.21.npz,data/interim/gridsat/2005/gridsat_2005.12.07.00.npz,data/interim/gridsat/2005/gridsat_2005.12.07.03.npz,data/interim/gridsat/2005/gridsat_2005.12.07.06.npz,data/interim/gridsat/2005/gridsat_2005.12.07.09.npz,11.0,86.5,45.0,998.0,CS,11.0,86.0,45.0,998.0,CS,10.5,85.0,45.0,998.0,CS,10.5,82.5,45.0,998.0,CS
NIO_2005_UNNAMED_2_11_1_20051207_1200Z,NIO_2005_UNNAMED_2_11_1,TRAIN,2005-12-07T12:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.12.06.21.npz,data/interim/gridsat/2005/gridsat_2005.12.07.00.npz,data/interim/gridsat/2005/gridsat_2005.12.07.03.npz,data/interim/gridsat/2005/gridsat_2005.12.07.06.npz,data/interim/gridsat/2005/gridsat_2005.12.07.09.npz,data/interim/gridsat/2005/gridsat_2005.12.07.12.npz,11.0,86.5,45.0,998.0,CS,11.0,86.0,45.0,998.0,CS,10.5,84.5,45.0,998.0,CS,10.5,82.0,45.0,998.0,CS
NIO_2005_UNNAMED_2_11_1_20051207_1500Z,NIO_2005_UNNAMED_2_11_1,TRAIN,2005-12-07T15:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.12.07.00.npz,data/interim/gridsat/2005/gridsat_2005.12.07.03.npz,data/interim/gridsat/2005/gridsat_2005.12.07.06.npz,data/interim/gridsat/2005/gridsat_2005.12.07.09.npz,data/interim/gridsat/2005/gridsat_2005.12.07.12.npz,data/interim/gridsat/2005/gridsat_2005.12.07.15.npz,11.0,86.5,45.0,998.0,CS,10.5,86.0,45.0,998.0,CS,10.5,84.5,45.0,998.0,CS,10.5,81.5,45.0,998.0,CS
NIO_2005_UNNAMED_2_11_1_20051207_1800Z,NIO_2005_UNNAMED_2_11_1,TRAIN,2005-12-07T18:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.12.07.03.npz,data/interim/gridsat/2005/gridsat_2005.12.07.06.npz,data/interim/gridsat/2005/gridsat_2005.12.07.09.npz,data/interim/gridsat/2005/gridsat_2005.12.07.12.npz,data/interim/gridsat/2005/gridsat_2005.12.07.15.npz,data/interim/gridsat/2005/gridsat_2005.12.07.18.npz,11.0,86.0,45.0,998.0,CS,10.5,85.5,45.0,998.0,CS,10.5,84.0,45.0,998.0,CS,10.5,81.5,35.0,1000.0,CS
NIO_2005_UNNAMED_2_11_1_20051207_2100Z,NIO_2005_UNNAMED_2_11_1,TRAIN,2005-12-07T21:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.12.07.06.npz,data/interim/gridsat/2005/gridsat_2005.12.07.09.npz,data/interim/gridsat/2005/gridsat_2005.12.07.12.npz,data/interim/gridsat/2005/gridsat_2005.12.07.15.npz,data/interim/gridsat/2005/gridsat_2005.12.07.18.npz,data/interim/gridsat/2005/gridsat_2005.12.07.21.npz,11.0,86.0,45.0,998.0,CS,10.5,85.0,45.0,998.0,CS,10.5,84.0,45.0,998.0,CS,10.5,81.0,35.0,1000.0,CS
NIO_2005_UNNAMED_2_12_1_20051215_1200Z,NIO_2005_UNNAMED_2_12_1,TRAIN,2005-12-15T12:00:00+00:00,data/interim/gridsat/2005/gridsat_2005.12.14.21.npz,data/interim/gridsat/2005/gridsat_2005.12.15.00.npz,data/interim/gridsat/2005/gridsat_2005.12.15.03.npz,data/interim/gridsat/2005/gridsat_2005.12.15.06.npz,data/interim/gridsat/2005/gridsat_2005.12.15.09.npz,data/interim/gridsat/2005/gridsat_2005.12.15.12.npz,8.0,87.0,25.0,1006.0,D,8.0,87.0,25.0,1004.0,D,8.0,84.5,25.0,1002.0,D,8.5,83.5,30.0,1000.0,DD
